시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울특별시,성동구,의료,여자,70-74세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,성동구,의료,여자,75-79세,*,0 ,0 ,0 ,0 ,0 ,*,0 ,0 ,0 
서울특별시,성동구,의료,여자,80-84세,6 ,0 ,*,0 ,*,0 ,*,*,0 ,0 
서울특별시,성동구,의료,여자,85세이상,17 ,*,*,*,6 ,0 ,0 ,*,*,0 
서울특별시,성동구,감경,남자,65세미만,21 ,0 ,*,6 ,*,*,*,0 ,0 ,0 
서울특별시,성동구,감경,남자,65-69세,29 ,*,*,*,10 ,*,*,*,*,*
서울특별시,성동구,감경,남자,70-74세,54 ,6 ,5 ,11 ,19 ,5 ,*,*,*,0 
서울특별시,성동구,감경,남자,75-79세,65 ,*,5 ,15 ,22 ,11 ,*,*,*,*
서울특별시,성동구,감경,남자,80-84세,75 ,*,5 ,18 ,27 ,10 ,10 ,0 ,0 ,0 
서울특별시,성동구,감경,남자,85세이상,59 ,*,*,15 ,25 ,12 ,*,0 ,0 ,*
서울특별시,성동구,감경,여자,65세미만,16 ,*,*,*,5 ,*,0 ,0 ,0 ,0 
서울특별시,성동구,감경,여자,65-69세,23 ,*,0 ,5 ,11 ,*,0 ,*,0 ,0 
서울특별시,성동구,감경,여자,70-74세,56 ,*,*,11 ,20 ,8 ,7 ,0 ,0 ,*
서울특별시,성동구,감경,여자,75-79세,110 ,7 ,*,23 ,48 ,9 ,7 ,*,*,0 
서울특별시,성동구,감경,여자,80-84세,191 ,*,14 ,43 ,82 ,23 ,12 ,*,*,*
서울특별시,성동구,감경,여자,85세이상,394 ,14 ,29 ,139 ,161 ,29 ,12 ,*,*,0 
서울특별시,광진구,일반,남자,65세미만,48 ,*,*,*,9 ,*,0 ,8 ,*,*
서울특별시,광진구,일반,남자,65-69세,113 ,8 ,7 ,21 ,26 ,7 ,0 ,12 ,*,8 
서울특별시,광진구,일반,남자,70-74세,159 ,6 ,8 ,24 ,54 ,9 ,*,9 ,*,5 
서울특별시,광진구,일반,남자,75-79세,247 ,*,15 ,46 ,84 ,17 ,*,14 ,9 ,6 
서울특별시,광진구,일반,남자,80-84세,364 ,6 ,17 ,82 ,130 ,31 ,7 ,19 ,12 ,7 
서울특별시,광진구,일반,남자,85세이상,446 ,18 ,24 ,122 ,194 ,22 ,7 ,11 ,6 ,*
서울특별시,광진구,일반,여자,65세미만,62 ,*,*,11 ,9 ,*,0 ,13 ,*,5 
서울특별시,광진구,일반,여자,65-69세,116 ,5 ,6 ,17 ,17 ,6 ,*,11 ,8 ,6 
서울특별시,광진구,일반,여자,70-74세,242 ,15 ,11 ,30 ,64 ,13 ,*,28 ,11 ,6 
서울특별시,광진구,일반,여자,75-79세,473 ,12 ,22 ,92 ,140 ,37 ,14 ,32 ,12 ,*
서울특별시,광진구,일반,여자,80-84세,754 ,22 ,40 ,169 ,277 ,56 ,15 ,36 ,11 ,5 
서울특별시,광진구,일반,여자,85세이상,1056 ,46 ,103 ,296 ,388 ,62 ,9 ,23 ,11 ,5 
서울특별시,광진구,기초,남자,65세미만,58 ,*,*,12 ,13 ,*,*,5 ,*,*
서울특별시,광진구,기초,남자,65-69세,63 ,*,*,9 ,14 ,6 ,0 ,*,*,7 
서울특별시,광진구,기초,남자,70-74세,48 ,*,*,*,24 ,*,*,6 ,0 ,*
서울특별시,광진구,기초,남자,75-79세,39 ,0 ,*,*,21 ,*,0 ,*,0 ,*
서울특별시,광진구,기초,남자,80-84세,42 ,0 ,0 ,7 ,18 ,*,*,0 ,*,*
서울특별시,광진구,기초,남자,85세이상,27 ,0 ,*,*,10 ,5 ,*,*,0 ,0 
서울특별시,광진구,기초,여자,65세미만,21 ,*,*,5 ,5 ,*,*,*,0 ,0 
서울특별시,광진구,기초,여자,65-69세,68 ,0 ,*,10 ,26 ,6 ,*,8 ,*,*
서울특별시,광진구,기초,여자,70-74세,61 ,*,*,7 ,31 ,*,0 ,*,*,0 
서울특별시,광진구,기초,여자,75-79세,90 ,*,*,15 ,33 ,8 ,*,8 ,*,*
서울특별시,광진구,기초,여자,80-84세,122 ,0 ,8 ,28 ,49 ,8 ,*,7 ,6 ,0 
서울특별시,광진구,기초,여자,85세이상,161 ,8 ,17 ,50 ,59 ,7 ,*,*,*,*
서울특별시,광진구,의료,남자,65세미만,*,0 ,0 ,0 ,0 ,0 ,0 ,*,0 ,0 
서울특별시,광진구,의료,남자,65-69세,*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,남자,70-74세,*,0 ,0 ,0 ,*,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,남자,75-79세,*,0 ,0 ,*,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,남자,80-84세,*,0 ,0 ,0 ,*,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,남자,85세이상,*,0 ,0 ,0 ,*,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,여자,65-69세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,여자,70-74세,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,여자,75-79세,*,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,여자,80-84세,*,0 ,*,*,*,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,의료,여자,85세이상,23 ,*,*,8 ,7 ,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,감경,남자,65세미만,25 ,0 ,*,11 ,7 ,0 ,*,0 ,0 ,*
서울특별시,광진구,감경,남자,65-69세,34 ,*,*,5 ,17 ,*,0 ,*,*,0 
서울특별시,광진구,감경,남자,70-74세,71 ,6 ,7 ,21 ,27 ,6 ,0 ,0 ,0 ,0 
서울특별시,광진구,감경,남자,75-79세,78 ,*,8 ,23 ,35 ,5 ,*,0 ,0 ,0 
서울특별시,광진구,감경,남자,80-84세,79 ,*,7 ,21 ,34 ,7 ,*,*,0 ,0 
서울특별시,광진구,감경,남자,85세이상,102 ,*,5 ,28 ,54 ,7 ,*,0 ,0 ,0 
서울특별시,광진구,감경,여자,65세미만,19 ,*,*,*,6 ,0 ,0 ,0 ,0 ,0 
서울특별시,광진구,감경,여자,65-69세,49 ,*,*,11 ,23 ,*,0 ,0 ,*,0 
서울특별시,광진구,감경,여자,70-74세,69 ,*,5 ,19 ,31 ,*,*,0 ,0 ,*
서울특별시,광진구,감경,여자,75-79세,137 ,5 ,9 ,32 ,63 ,13 ,*,0 ,*,0 
서울특별시,광진구,감경,여자,80-84세,299 ,10 ,26 ,75 ,142 ,25 ,6 ,*,*,0 
서울특별시,광진구,감경,여자,85세이상,488 ,18 ,58 ,159 ,223 ,14 ,*,0 ,0 ,0 
서울특별시,동대문구,일반,남자,65세미만,67 ,13 ,*,10 ,7 ,*,*,7 ,7 ,*
서울특별시,동대문구,일반,남자,65-69세,141 ,8 ,10 ,16 ,24 ,*,*,14 ,10 ,6 
서울특별시,동대문구,일반,남자,70-74세,200 ,15 ,11 ,21 ,60 ,17 ,0 ,23 ,8 ,*
서울특별시,동대문구,일반,남자,75-79세,316 ,14 ,18 ,54 ,71 ,34 ,7 ,25 ,14 ,8 
서울특별시,동대문구,일반,남자,80-84세,425 ,20 ,25 ,75 ,128 ,48 ,11 ,27 ,10 ,5 
서울특별시,동대문구,일반,남자,85세이상,510 ,22 ,30 ,97 ,188 ,51 ,7 ,18 ,12 ,8 
서울특별시,동대문구,일반,여자,65세미만,51 ,5 ,*,*,9 ,*,0 ,9 ,*,0 
서울특별시,동대문구,일반,여자,65-69세,177 ,15 ,7 ,21 ,23 ,6 ,*,27 ,9 ,8 
서울특별시,동대문구,일반,여자,70-74세,311 ,23 ,11 ,35 ,54 ,17 ,9 ,44 ,15 ,*
서울특별시,동대문구,일반,여자,75-79세,606 ,29 ,24 ,78 ,158 ,47 ,27 ,58 ,24 ,12 
서울특별시,동대문구,일반,여자,80-84세,1007 ,44 ,42 ,169 ,344 ,114 ,28 ,60 ,30 ,12 
서울특별시,동대문구,일반,여자,85세이상,1245 ,55 ,98 ,298 ,433 ,115 ,16 ,43 ,32 ,6 
서울특별시,동대문구,기초,남자,65세미만,92 ,*,*,20 ,25 ,*,*,12 ,*,*
서울특별시,동대문구,기초,남자,65-69세,113 ,*,6 ,14 ,33 ,11 ,*,12 ,*,6 
서울특별시,동대문구,기초,남자,70-74세,104 ,*,*,15 ,27 ,14 ,*,7 ,6 ,6 
서울특별시,동대문구,기초,남자,75-79세,81 ,*,5 ,10 ,22 ,*,*,7 ,6 ,*
